fixture	nupic_dssim	tinypng_dssim
p81_1024x768.png	0.000216	0.000328
p82_1024x768.png	0.000485	0.001274
p83_1024x768.png	0.000000	0.001322
p84_1024x768.png	0.000554	0.000658
p85_1024x768.png	0.000248	0.000355
p86_1024x768.png	0.000863	0.001391
p87_1024x768.png	0.001844	0.000985
p88_1024x768.png	0.000582	0.000801
p89_1024x768.png	0.002582	0.001851
p8_480x320.png	0.000575	0.000823
p90_1024x768.png	0.000186	0.001198
p91_1024x768.png	0.000172	0.000324
p92_1024x768.png	0.003704	0.004047
p93_1024x768.png	0.004799	0.006102
p94_1024x768.png	0.005269	0.002666
p95_1024x768.png	0.000336	0.000427
p96_1024x768.png	0.000467	0.000639
p97_1024x768.png	0.000809	0.001128
p98_1024x768.png	0.000000	0.000484
p99_1024x768.png	0.000570	0.000754
p9_480x320.png	0.000923	0.000610
s000_gradient_1084x959.png	0.000029	0.000000
s001_gradient_1461x635.png	0.000000	0.000380
s002_gradient_1592x927.png	0.000007	0.000073
s003_gradient_2298x2088.png	0.000020	0.000000
s004_gradient_1546x574.png	0.000000	0.000058
s005_gradient_1267x606.png	0.000022	0.000091
s006_gradient_1306x1113.png	0.000001	0.000000
s007_gradient_575x1620.png	0.000033	0.000219
s008_gradient_851x1764.png	0.000002	0.000052
s009_gradient_782x748.png	0.000021	0.000000
s010_gradient_1689x1549.png	0.000028	0.000000
s011_gradient_2345x2127.png	0.000000	0.000185
s012_gradient_2267x2091.png	0.000000	0.000000
s013_gradient_738x576.png	0.000000	0.000000
s014_gradient_1019x1768.png	0.000032	0.000069
s015_gradient_1880x2181.png	0.000035	0.000000
s016_gradient_1081x1662.png	0.000032	0.000091
s017_gradient_1023x1665.png	0.000021	0.000519
s018_gradient_1722x675.png	0.000000	0.000000
s019_gradient_2029x1022.png	0.000000	0.000000
