fixture	nupic_ssim	tinypng_ssim
s008_gradient_851x1764.png	90.3288	87.2197
s009_gradient_782x748.png	96.2211	100.0000
s010_gradient_1689x1549.png	93.3432	100.0000
s011_gradient_2345x2127.png	100.0000	78.0679
s012_gradient_2267x2091.png	100.0000	100.0000
s013_gradient_738x576.png	100.0000	100.0000
s014_gradient_1019x1768.png	91.2503	88.3460
s015_gradient_1880x2181.png	92.5060	100.0000
s016_gradient_1081x1662.png	93.5756	90.2222
s017_gradient_1023x1665.png	93.7392	89.2529
s018_gradient_1722x675.png	98.2725	100.0000
s019_gradient_2029x1022.png	100.0000	100.0000
s020_gradient_1779x874.png	93.0505	89.6725
s021_gradient_1369x1631.png	100.0000	100.0000
s022_gradient_1285x532.png	95.0406	92.5227
s023_gradient_995x1142.png	95.1590	89.7972
s024_gradient_818x1299.png	94.8992	100.0000
s025_noise_400x300.png	88.7489	86.6203
s026_noise_500x380.png	84.9943	80.1960
s027_noise_600x460.png	81.0347	74.8907
s028_noise_700x540.png	77.4700	69.6643
s029_noise_800x620.png	66.7211	64.5676
s030_noise_900x700.png	62.9244	60.1707
s031_noise_1000x780.png	60.7917	56.5623
s032_noise_1100x860.png	58.8805	54.0328
s033_noise_1200x940.png	57.6564	52.4497
s034_noise_1300x1020.png	57.4808	52.1428
s035_noise_1400x1100.png	57.1932	51.7767
s036_noise_1500x1180.png	57.9596	52.3514
s037_noise_1600x1260.png	58.2784	53.1645
s038_noise_1700x1340.png	59.5762	53.8822
s039_noise_1800x1420.png	60.1913	54.5597
s040_stripes_p2.png	100.0000	100.0000
s041_stripes_p5.png	100.0000	100.0000
s042_stripes_p8.png	100.0000	100.0000
s043_stripes_p11.png	100.0000	100.0000
s044_stripes_p14.png	100.0000	100.0000
s045_stripes_p17.png	100.0000	100.0000
s046_stripes_p20.png	100.0000	100.0000
s047_stripes_p23.png	100.0000	100.0000
s048_stripes_p26.png	100.0000	100.0000
s049_stripes_p29.png	100.0000	100.0000
s050_stripes_p32.png	100.0000	100.0000
s051_stripes_p35.png	100.0000	100.0000
s052_stripes_p38.png	100.0000	100.0000
s053_stripes_p41.png	100.0000	100.0000
s054_stripes_p44.png	100.0000	100.0000
s055_solid.png	100.0000	100.0000
s056_solid.png	100.0000	100.0000
s057_solid.png	100.0000	100.0000
s058_solid.png	100.0000	100.0000
s059_solid.png	100.0000	100.0000
s060_solid.png	100.0000	100.0000
s061_solid.png	100.0000	100.0000
s062_solid.png	100.0000	100.0000
s063_solid.png	100.0000	100.0000
s064_solid.png	100.0000	100.0000
s065_text.png	93.4746	92.9796
s066_text.png	93.4816	93.1606
s067_text.png	93.4565	93.0959
s068_text.png	93.7648	93.4796
s069_text.png	93.7558	93.6918
s070_text.png	93.2623	93.0323
s071_text.png	93.5813	92.8813
s072_text.png	93.4332	92.9970
s073_text.png	93.5177	93.2459
s074_text.png	92.9840	93.0445
s075_text.png	93.5872	92.9902
s076_text.png	93.1135	93.0466
s077_text.png	93.3680	93.0951
s078_text.png	93.8564	93.1024
s079_text.png	93.4100	93.0841
s080_chart.png	100.0000	100.0000
s081_chart.png	100.0000	100.0000
s082_chart.png	100.0000	100.0000
s083_chart.png	100.0000	100.0000
s084_chart.png	100.0000	100.0000
s085_trans_circle.png	100.0000	100.0000
s086_trans_circle.png	100.0000	100.0000
s087_trans_circle.png	100.0000	100.0000
s088_trans_circle.png	100.0000	100.0000
s089_trans_circle.png	100.0000	100.0000
s090_trans_circle.png	100.0000	100.0000
s091_trans_circle.png	100.0000	100.0000
s092_trans_circle.png	100.0000	100.0000
s093_trans_circle.png	100.0000	100.0000
s094_trans_circle.png	100.0000	100.0000
s095_sprites.png	100.0000	100.0000
s096_sprites.png	100.0000	100.0000
s097_sprites.png	100.0000	100.0000
s098_sprites.png	100.0000	100.0000
s099_sprites.png	100.0000	100.0000
wm00_!-tylewice-wiatrak-windmill-abri-20.png	64.6273	72.1410
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_.png	62.3590	67.3879
wm02_"1930"_Pur_Sang_Type_35_Replica_in_.png	81.2899	65.9801
wm03_"A_Justiça"_sculpture_(Leopoldo_de_.png	76.2209	76.3064
wm04_"A_Justiça"_sculpture_(Leopoldo_de_.png	73.0454	73.8290
wm05_"Access_to_Justice"_by_John_Atkin_(.png	69.3898	64.5149
wm06_"Access_to_Justice"_by_John_Atkin_(.png	70.1330	68.6442
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi.png	71.1998	68.7574
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg.png	70.0355	68.6819
wm09_"Alter_Stern"_in_Siegershausen.jpg.png	78.3519	75.7413
wm10_Birds-1310600,_Wainuiomata,_Welling.png	70.4934	71.4400
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	70.5802	57.9905
wm12_Little_Egret-1000534,_Dingle_Penins.png	75.3232	73.0764
wm13_Little_Egret-1000590,_Dingle_Penins.png	72.8358	67.4727
wm14_Little_Egret-1000593,_Dingle_Penins.png	73.2320	72.3655
wm_0_Cat03.png	75.7884	73.4675
