fixture	input_size	nupic_size	tinypng_size	ratio_n_over_t
p43_480x320.png	81824	39373	33505	1.1751
p440_sm_380x260.png	164527	50640	61168	0.8279
p441_sm_460x320.png	193974	50540	68651	0.7362
p442_sm_540x380.png	165343	86661	80395	1.0779
p443_sm_620x200.png	57094	26172	22326	1.1723
p444_sm_300x260.png	125649	34558	44133	0.7830
p445_sm_380x320.png	160398	41966	51465	0.8154
p446_sm_460x380.png	114133	55630	53897	1.0322
p447_sm_540x200.png	86986	22130	33626	0.6581
p448_sm_620x260.png	151877	42703	61747	0.6916
p449_sm_300x320.png	137128	47194	55851	0.8450
p44_480x320.png	223360	61287	76719	0.7989
p45_480x320.png	202685	52108	64942	0.8024
p46_480x320.png	102441	53509	47210	1.1334
p47_480x320.png	133428	33688	48125	0.7000
p48_480x320.png	155977	45300	63886	0.7091
p49_480x320.png	229972	74110	88013	0.8420
p4_480x320.png	178300	41634	54224	0.7678
p50_480x320.png	134834	65110	66488	0.9793
p51_480x320.png	153531	42930	57913	0.7413
p52_480x320.png	146706	38502	57339	0.6715
p53_480x320.png	235347	63570	79596	0.7987
p54_480x320.png	260230	71261	82876	0.8599
p55_480x320.png	176570	33700	52608	0.6406
p56_480x320.png	265987	81873	95761	0.8550
p57_480x320.png	147727	75811	75324	1.0065
p58_480x320.png	228685	67505	81261	0.8307
p59_480x320.png	113782	36835	52091	0.7071
p5_480x320.png	171679	36136	51296	0.7045
p60_1024x768.png	666770	151727	217158	0.6987
p61_1024x768.png	707351	196077	234630	0.8357
p62_1024x768.png	627397	140766	211004	0.6671
p63_1024x768.png	689643	143186	229471	0.6240
p64_1024x768.png	674070	144134	216671	0.6652
p65_1024x768.png	587095	113145	205736	0.5500
p66_1024x768.png	820975	195258	279224	0.6993
p67_1024x768.png	765814	227074	290900	0.7806
p68_1024x768.png	782392	249267	308740	0.8074
p69_1024x768.png	1065411	328513	397715	0.8260
p6_480x320.png	220588	59151	70827	0.8351
p70_1024x768.png	832496	280380	341997	0.8198
p71_1024x768.png	840169	248053	311504	0.7963
p72_1024x768.png	1305998	449259	470158	0.9555
p73_1024x768.png	876578	330892	382491	0.8651
p74_1024x768.png	1456815	507720	538102	0.9435
p75_1024x768.png	852190	265949	313180	0.8492
p76_1024x768.png	1493677	454198	534251	0.8502
p77_1024x768.png	1149283	301982	350911	0.8606
p78_1024x768.png	1399911	372578	416159	0.8953
p79_1024x768.png	870772	213265	304398	0.7006
p7_480x320.png	185213	64611	70280	0.9193
p80_1024x768.png	1277807	333034	385496	0.8639
p81_1024x768.png	1124368	499349	607833	0.8215
p82_1024x768.png	491288	146594	233067	0.6290
p83_1024x768.png	516101	310352	187468	1.6555
p84_1024x768.png	1315903	387329	464887	0.8332
p85_1024x768.png	841402	352240	469043	0.7510
p86_1024x768.png	1007864	325475	362899	0.8969
p87_1024x768.png	1636768	459281	558368	0.8225
p88_1024x768.png	1377998	515745	555329	0.9287
p89_1024x768.png	782155	190976	292903	0.6520
p8_480x320.png	184125	65693	72744	0.9031
p90_1024x768.png	307356	128413	132566	0.9687
p91_1024x768.png	1152995	503523	562393	0.8953
p92_1024x768.png	846899	241520	317610	0.7604
p93_1024x768.png	1629910	396498	519650	0.7630
p94_1024x768.png	796270	163833	269857	0.6071
p95_1024x768.png	663738	209820	289119	0.7257
p96_1024x768.png	830124	270284	318863	0.8476
p97_1024x768.png	857077	313105	377097	0.8303
p98_1024x768.png	325988	187207	151345	1.2370
p99_1024x768.png	920318	318993	373792	0.8534
p9_480x320.png	205970	62822	78259	0.8027
s000_gradient_1084x959.png	6526	3604	6526	0.5523
s001_gradient_1461x635.png	5499	2979	3288	0.9060
s002_gradient_1592x927.png	113903	42850	75004	0.5713
s003_gradient_2298x2088.png	23975	10031	23975	0.4184
s004_gradient_1546x574.png	5131	2643	2925	0.9036
s005_gradient_1267x606.png	156624	43020	51833	0.8300
s006_gradient_1306x1113.png	8292	3668	8292	0.4424
s007_gradient_575x1620.png	7728	4446	6558	0.6780
s008_gradient_851x1764.png	90945	38521	64993	0.5927
s009_gradient_782x748.png	4104	2499	4104	0.6089
s010_gradient_1689x1549.png	13982	6325	13982	0.4524
s011_gradient_2345x2127.png	300276	124343	191227	0.6502
