file	w	h	in_KB	out_KB	time_ms	ssim	n_colors
s059_solid	400	270	1	0	32.6	100.000000	1
s060_solid	450	300	1	0	34.4	100.000000	1
s061_solid	500	330	1	0	35.4	100.000000	1
s062_solid	550	360	1	0	38.3	100.000000	1
s063_solid	600	390	1	0	42.0	100.000000	1
s064_solid	650	420	1	0	98.7	100.000000	1
s065_text	800	600	65	4	231.2	93.474555	105
s066_text	800	600	59	3	235.6	93.481602	108
s067_text	800	600	64	3	220.5	93.456499	109
s068_text	800	600	66	4	229.3	93.764763	111
s069_text	800	600	61	3	220.6	93.755834	107
s070_text	800	600	65	3	216.4	93.262317	108
s071_text	800	600	67	4	217.2	93.581326	107
s072_text	800	600	62	3	215.8	93.433159	110
