fixture	family	pile	nupic_size	tiny_size	size_ratio	nupic_dssim	tiny_dssim	dssim_delta
s078_text.png	s	PileA	4270	3899	1.0952	0.000006	0.000008	-0.000002
s079_text.png	s	PileA	4121	3791	1.0870	0.000005	0.000008	-0.000003
s080_chart.png	s	PileA	1061	1092	0.9716	0.000000	0.000000	+0.000000
s081_chart.png	s	PileA	1206	1402	0.8602	0.000000	0.000000	+0.000000
s082_chart.png	s	PileA	1194	1249	0.9560	0.000000	0.000000	+0.000000
s083_chart.png	s	PASS	1264	1883	0.6713	0.000000	0.000000	+0.000000
s084_chart.png	s	PASS	1165	1569	0.7425	0.000000	0.000000	+0.000000
s085_trans_circle.png	s	PileA	715	710	1.0070	0.000000	0.000000	+0.000000
s086_trans_circle.png	s	PileA	779	764	1.0196	0.000000	0.000000	+0.000000
s087_trans_circle.png	s	PileA	820	810	1.0123	0.000000	0.000000	+0.000000
s088_trans_circle.png	s	PileA	864	857	1.0082	0.000000	0.000000	+0.000000
s089_trans_circle.png	s	PileA	931	910	1.0231	0.000000	0.000000	+0.000000
s090_trans_circle.png	s	PileA	1012	975	1.0379	0.000000	0.000000	+0.000000
s091_trans_circle.png	s	PileA	1067	1027	1.0389	0.000000	0.000000	+0.000000
s092_trans_circle.png	s	PileA	1130	1125	1.0044	0.000000	0.000000	+0.000000
s093_trans_circle.png	s	PileA	1213	1184	1.0245	0.000000	0.000000	+0.000000
s094_trans_circle.png	s	PileA	1272	1244	1.0225	0.000000	0.000000	+0.000000
s095_sprites.png	s	PileA	2963	3091	0.9586	0.000000	0.000000	+0.000000
s096_sprites.png	s	PileA	2930	3037	0.9648	0.000000	0.000000	+0.000000
s097_sprites.png	s	PileA	2910	3018	0.9642	0.000000	0.000000	+0.000000
s098_sprites.png	s	PileA	2949	3079	0.9578	0.000000	0.000000	+0.000000
s099_sprites.png	s	PileA	2961	3089	0.9586	0.000000	0.000000	+0.000000
wm00_!-tylewice-wiatrak-windmill-abri-20.png	wm	PileC	4286399	4546861	0.9427	0.001048	0.000916	+0.000132
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_.png	wm	PileA	4022047	4153502	0.9684	0.001463	0.002061	-0.000598
wm02_"1930"_Pur_Sang_Type_35_Replica_in_.png	wm	PileA	9019843	8384876	1.0757	0.000526	0.007703	-0.007177
wm03_"A_Justiça"_sculpture_(Leopoldo_de_.png	wm	PileA	6679323	6955915	0.9602	0.000870	0.001447	-0.000577
wm04_"A_Justiça"_sculpture_(Leopoldo_de_.png	wm	PileA	7357464	6960982	1.0570	0.001096	0.001122	-0.000026
wm05_"Access_to_Justice"_by_John_Atkin_(.png	wm	PileA	10413894	9306636	1.1190	0.002759	0.002778	-0.000019
wm06_"Access_to_Justice"_by_John_Atkin_(.png	wm	PileA	11474796	11717157	0.9793	0.001751	0.001824	-0.000073
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi.png	wm	PileC	8847794	8423737	1.0503	0.003054	0.001865	+0.001189
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg.png	wm	PileA	5073545	4753932	1.0672	0.001182	0.001399	-0.000217
wm09_"Alter_Stern"_in_Siegershausen.jpg.png	wm	PileA	6069790	5388853	1.1264	0.000868	0.001062	-0.000194
wm10_Birds-1310600,_Wainuiomata,_Welling.png	wm	PileC	4163448	3956509	1.0523	0.002807	0.002417	+0.000390
wm11_Crested_hawk-eagle_(Nisaetus_cirrha.png	wm	PileA	7568967	7658631	0.9883	0.001670	0.002968	-0.001298
wm12_Little_Egret-1000534,_Dingle_Penins.png	wm	PileA	8642125	7902013	1.0937	0.002542	0.002847	-0.000305
wm13_Little_Egret-1000590,_Dingle_Penins.png	wm	PileC	12182739	11343659	1.0740	0.001915	0.001866	+0.000049
wm14_Little_Egret-1000593,_Dingle_Penins.png	wm	PileC	9921069	8916424	1.1127	0.002516	0.002288	+0.000228
wm_0_Cat03.png	wm	PileB	503297	660880	0.7616	0.001394	0.001258	+0.000136
