fixture	pile	n_pixels	c_size	c_dssim	tiny_size	tiny_dssim	baseline_size	baseline_dssim	size_pass	dssim_pass	both	baseline_both	regression
p199_2400x1600.png	PileA	3840000	1168812	0.001138	1360975	0.001210	1168812	0.001138	N	Y	N	N	
p19_480x320.png	PileB	153600	56778	0.000994	71814	0.000991	56778	0.000994	Y	Y	Y	Y	
p1_480x320.png	PileC	153600	54196	0.002996	61574	0.002772	54196	0.002996	N	N	N	N	
p200_2400x1600.png	PileA	3840000	1438284	0.011405	1479703	0.013321	1438284	0.011405	N	Y	N	N	
p201_2400x1600.png	PileA	3840000	2492020	0.000251	2817427	0.000473	2492020	0.000251	N	Y	N	N	
p202_2400x1600.png	PileA	3840000	1211415	0.000000	1060846	0.000835	1211415	0.000000	N	Y	N	N	
p203_2400x1600.png	PileA	3840000	1292871	0.000000	876934	0.001673	1292871	0.000000	N	Y	N	N	
p204_2400x1600.png	PileA	3840000	1479957	0.001305	1829505	0.001494	1479957	0.001305	N	Y	N	N	
p205_2400x1600.png	PileA	3840000	2336891	0.000260	2442670	0.000400	2336891	0.000260	N	Y	N	N	
p206_2400x1600.png	PileA	3840000	1471452	0.001006	1595194	0.001473	1471452	0.001006	N	Y	N	N	
p207_2400x1600.png	PileC	3840000	2565555	0.002167	2520174	0.001473	2565555	0.002167	N	N	N	N	
p208_2400x1600.png	PileA	3840000	2564972	0.000754	2669600	0.001195	2564972	0.000754	N	Y	N	N	
p209_2400x1600.png	PileB	3840000	674236	0.004155	1142751	0.002959	674236	0.004155	Y	N	N	N	
p20_480x320.png	PileA	153600	70196	0.007693	85379	0.008490	70196	0.007693	N	Y	N	N	
p210_2400x1600.png	PileA	3840000	844212	0.000011	759432	0.000637	844212	0.000011	N	Y	N	N	
p211_2400x1600.png	PileA	3840000	2485267	0.000228	2589313	0.000423	2485267	0.000228	N	Y	N	N	
p212_2400x1600.png	PASS	3840000	1053430	0.004248	1336405	0.006293	1053430	0.004248	Y	Y	Y	Y	
p213_2400x1600.png	PASS	3840000	1630337	0.007259	2040118	0.008361	1630337	0.007259	Y	Y	Y	Y	
p214_2400x1600.png	PileA	3840000	2002396	0.000000	1098013	0.002845	2002396	0.000000	N	Y	N	N	
p215_2400x1600.png	PileA	3840000	1277809	0.000340	1462962	0.000592	1277809	0.000340	N	Y	N	N	
p216_2400x1600.png	PileA	3840000	1051207	0.000634	1176646	0.000885	1051207	0.000634	N	Y	N	N	
p217_2400x1600.png	PileA	3840000	1221712	0.000886	1366268	0.001138	1221712	0.000886	N	Y	N	N	
p218_2400x1600.png	PileA	3840000	610220	0.000000	624499	0.000546	610220	0.000000	N	Y	N	N	
p219_2400x1600.png	PileA	3840000	1662225	0.000635	1779963	0.000987	1662225	0.000635	N	Y	N	N	
p21_480x320.png	PASS	153600	96181	0.000184	122600	0.000264	96181	0.000184	Y	Y	Y	Y	
p220_2400x1600.png	PASS	3840000	881262	0.001931	1397664	0.002440	881262	0.001931	Y	Y	Y	Y	
p221_2400x1600.png	PileB	3840000	688662	0.001812	1133522	0.001751	688662	0.001812	Y	N	N	N	
p222_2400x1600.png	PileA	3840000	1216100	0.000004	1146888	0.000220	1216100	0.000004	N	Y	N	N	
p223_2400x1600.png	PileA	3840000	902585	0.000092	699818	0.000460	902585	0.000092	N	Y	N	N	
p224_2400x1600.png	PileB	3840000	987075	0.001008	1292086	0.000994	987075	0.001008	Y	N	N	N	
p225_2400x1600.png	PileA	3840000	1263180	0.000870	1372896	0.001609	1263180	0.000870	N	Y	N	N	
p226_2400x1600.png	PileA	3840000	1105177	0.000005	975612	0.000143	1105177	0.000005	N	Y	N	N	
p227_2400x1600.png	PileA	3840000	1066669	0.000000	869554	0.000944	1066669	0.000000	N	Y	N	N	
p228_2400x1600.png	PASS	3840000	642786	0.000722	1065359	0.000870	642786	0.000722	Y	Y	Y	Y	
p229_2400x1600.png	PileA	3840000	2021074	0.000946	2010159	0.001256	2021074	0.000946	N	Y	N	N	
p22_480x320.png	PASS	153600	43808	0.000546	62576	0.000758	43808	0.000546	Y	Y	Y	Y	
p230_2400x1600.png	PileA	3840000	2024305	0.000013	1832953	0.000189	2024305	0.000013	N	Y	N	N	
p231_2400x1600.png	PileA	3840000	1176213	0.000000	928528	0.002114	1176213	0.000000	N	Y	N	N	
p232_2400x1600.png	PileA	3840000	1304396	0.000000	1131028	0.000485	1304396	0.000000	N	Y	N	N	
p233_2400x1600.png	PileA	3840000	1347595	0.001228	1470089	0.001336	1347595	0.001228	N	Y	N	N	
p234_2400x1600.png	PileA	3840000	2422708	0.001372	2394214	0.001713	2422708	0.001372	N	Y	N	N	
p235_2400x1600.png	PileA	3840000	1481196	0.000000	959827	0.002144	1481196	0.000000	N	Y	N	N	
p236_2400x1600.png	PileA	3840000	1492979	0.002985	1721716	0.004161	1492979	0.002985	N	Y	N	N	
p237_2400x1600.png	PileA	3840000	1488941	0.000028	1384374	0.000309	1488941	0.000028	N	Y	N	N	
p238_2400x1600.png	PileB	3840000	1128779	0.004378	1681644	0.003200	1128779	0.004378	Y	N	N	N	
p239_2400x1600.png	PileA	3840000	874184	0.000000	730406	0.000390	874184	0.000000	N	Y	N	N	
p23_480x320.png	PASS	153600	32419	0.001099	42052	0.001122	32419	0.001099	Y	Y	Y	Y	
p240_3840x2560.png	PileA	9830400	1912846	0.004963	2083425	0.007742	3621017	0.000000	N	Y	N	N	
p241_3840x2560.png	PileA	9830400	1981709	0.005004	1968595	0.005888	3860066	0.000000	N	Y	N	N	
p242_3840x2560.png	PileA	9830400	1884299	0.004402	2084698	0.005684	3371243	0.000000	N	Y	N	N	
p243_3840x2560.png	PileA	9830400	1875815	0.007155	2234043	0.009195	3474685	0.000000	N	Y	N	N	
p244_3840x2560.png	PASS	9830400	1820164	0.004563	2300418	0.004580	1820164	0.004563	Y	Y	Y	Y	
p245_3840x2560.png	PileA	9830400	1561897	0.008299	1990567	0.011483	2735500	0.000000	Y	Y	Y	N	
p246_3840x2560.png	PileA	9830400	2383359	0.004750	2711119	0.004794	4464587	0.000000	N	Y	N	N	
p247_3840x2560.png	PileC	9830400	3063193	0.001869	2934388	0.001866	3063193	0.001869	N	Y	N	N	
p248_3840x2560.png	PileA	9830400	3627819	0.001217	3348938	0.001399	3627819	0.001217	N	Y	N	N	
p249_3840x2560.png	PileC	9830400	4122672	0.000891	4016187	0.000856	4122672	0.000891	N	N	N	N	
p24_480x320.png	PileA	153600	95179	0.000211	108411	0.000296	95179	0.000211	N	Y	N	N	
p250_3840x2560.png	PileA	9830400	3618536	0.000707	3287808	0.000997	3618536	0.000707	N	Y	N	N	
p251_3840x2560.png	PileA	9830400	2509134	0.001709	2779940	0.003317	2509134	0.001709	N	Y	N	N	
p252_3840x2560.png	PileA	9830400	5627401	0.001139	5018616	0.001534	5627401	0.001139	N	Y	N	N	
p253_3840x2560.png	PileA	9830400	3661238	0.001259	3780511	0.001409	3661238	0.001259	N	Y	N	N	
p254_3840x2560.png	PileA	9830400	4821293	0.001148	4725197	0.001509	4821293	0.001148	N	Y	N	N	
p255_3840x2560.png	PileA	9830400	3364389	0.001806	3238798	0.002362	3364389	0.001806	N	Y	N	N	
p256_3840x2560.png	PileA	9830400	6082490	0.001776	5555680	0.001977	6082490	0.001776	N	Y	N	N	
p257_3840x2560.png	PileC	9830400	3953649	0.003792	3736202	0.002997	3953649	0.003792	N	N	N	N	
p258_3840x2560.png	PileC	9830400	3641697	0.004270	3872527	0.002767	3641697	0.004270	N	N	N	N	
p259_3840x2560.png	PileC	9830400	2820287	0.001369	3159465	0.001352	2820287	0.001369	N	N	N	N	
p25_480x320.png	PASS	153600	63248	0.000213	90175	0.000261	63248	0.000213	Y	Y	Y	Y	
p260_3840x2560.png	PileA	9830400	3268641	0.015338	3153465	0.018367	3268641	0.015338	N	Y	N	N	
p261_3840x2560.png	PileA	9830400	6362310	0.000305	6928009	0.000548	6362310	0.000305	N	Y	N	N	
p262_3840x2560.png	PileA	9830400	2057047	0.000327	2208078	0.000747	2831536	0.000000	N	Y	N	N	
p263_3840x2560.png	PileA	9830400	2003813	0.001508	1907790	0.001840	2787655	0.000000	N	Y	N	N	
p264_3840x2560.png	PileC	9830400	3346557	0.002252	4048658	0.002014	3346557	0.002252	N	N	N	N	
p265_3840x2560.png	PileA	9830400	5986741	0.000294	6095883	0.000481	5986741	0.000294	N	Y	N	N	
p266_3840x2560.png	PileA	9830400	3370308	0.001322	3551717	0.001636	3370308	0.001322	N	Y	N	N	
p267_3840x2560.png	PileC	9830400	6269826	0.002985	5691208	0.002054	6269826	0.002985	N	N	N	N	
p268_3840x2560.png	PileA	9830400	6524330	0.000927	6575059	0.001378	6524330	0.000927	N	Y	N	N	
p269_3840x2560.png	PileA	9830400	1962864	0.004678	2558661	0.003334	3062586	0.000000	Y	N	N	N	
p26_480x320.png	PileA	153600	63924	0.000953	75099	0.001212	63924	0.000953	N	Y	N	N	
p270_3840x2560.png	PileA	9830400	1860066	0.000017	1620169	0.000789	1860066	0.000017	N	Y	N	N	
p271_3840x2560.png	PileA	9830400	5964231	0.000318	6056942	0.000523	5964231	0.000318	N	Y	N	N	
p272_3840x2560.png	PileA	9830400	2936358	0.005007	3359693	0.006158	2936358	0.005007	N	Y	N	N	
p273_3840x2560.png	PileA	9830400	4553394	0.009007	4585387	0.010661	4553394	0.009007	N	Y	N	N	
p274_3840x2560.png	PileA	9830400	1862494	0.007266	2502418	0.003084	4117965	0.000000	Y	N	N	N	
p275_3840x2560.png	PileA	9830400	3285879	0.000382	3467044	0.000678	3285879	0.000382	N	Y	N	N	
p276_3840x2560.png	PileA	9830400	2347783	0.000879	2512588	0.001056	2347783	0.000879	N	Y	N	N	
p277_3840x2560.png	PileA	9830400	3046072	0.000794	2735821	0.001060	3349989	0.000000	N	Y	N	N	
p278_3840x2560.png	PileA	9830400	1156563	0.000540	1416020	0.000630	1189971	0.000000	N	Y	N	N	
p279_3840x2560.png	PileA	9830400	4658087	0.000775	4584044	0.001206	4658087	0.000775	N	Y	N	N	
p27_480x320.png	PileC	153600	102666	0.001359	117337	0.000779	102666	0.001359	N	N	N	N	
p280_3840x2560.png	PileA	9830400	2813635	0.002663	3193108	0.002931	4239486	0.000000	N	Y	N	N	
p281_3840x2560.png	PileA	9830400	2223199	0.001775	2568607	0.001942	3780901	0.000000	N	Y	N	N	
p282_3840x2560.png	PileA	9830400	2632509	0.000008	2310666	0.000305	2632509	0.000008	N	Y	N	N	
p283_3840x2560.png	PileA	9830400	2094937	0.000105	1384038	0.000630	2305125	0.000000	N	Y	N	N	
p284_3840x2560.png	PileB	9830400	2140585	0.001207	2937743	0.001061	2140585	0.001207	Y	N	N	N	
p285_3840x2560.png	PileA	9830400	2939392	0.001134	3065909	0.001858	2939392	0.001134	N	Y	N	N	
p286_3840x2560.png	PileA	9830400	2571289	0.000005	2111834	0.000159	2571289	0.000005	N	Y	N	N	
p287_3840x2560.png	PileA	9830400	1975888	0.000963	2126479	0.001061	2629124	0.000000	N	Y	N	N	
p288_3840x2560.png	PASS	9830400	1371451	0.000945	2223292	0.000975	1371451	0.000945	Y	Y	Y	Y	
p289_3840x2560.png	PileA	9830400	5304474	0.001006	4966272	0.001340	5304474	0.001006	N	Y	N	N	
p28_480x320.png	PileA	153600	102845	0.000550	111664	0.000808	102845	0.000550	N	Y	N	N	
p290_3840x2560.png	PileA	9830400	5862928	0.000016	5218855	0.000230	5862928	0.000016	N	Y	N	N	
p291_3840x2560.png	PileA	9830400	1542821	0.002353	1993711	0.002458	1945364	0.000000	Y	Y	Y	N	
p292_3840x2560.png	PileA	9830400	2149476	0.000000	2235569	0.000489	2149476	0.000000	N	Y	N	N	
